Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 148.0.7778.178, chrome: {chromedriverVersion: 148.0.7778.178 (d096af1c9e9..., userDataDir: C:\Users\hp\AppData\Local\T...}, fedcm:accounts: true, goog:chromeOptions: {debuggerAddress: localhost:65359}, goog:processID: 12008, networkConnectionEnabled: false, pageLoadStrategy: normal, platformName: windows, proxy: Proxy(), se:cdp: ws://localhost:65359/devtoo..., se:cdpVersion: 148.0.7778.178, setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:extension:minPinLength: true, webauthn:extension:prf: true, webauthn:virtualAuthenticators: true}
Session ID: 1905f7952a1c72d641cc0f3a87602c38
2026-05-22 16:38:29 ERROR com.orangehrm.actiondriver.ActionDriver - unable to click on : By.xpath: //ul[@class="oxd-main-menu"]/li[2]Expected condition failed: waiting for element found by By.xpath: //ul[@class="oxd-main-menu"]/li[2] to be clickable, but the element was not found: org.openqa.selenium.NoSuchElementException: no such element: Unable to locate element: {"method":"xpath","selector":"//ul[@class="oxd-main-menu"]/li[2]"}.
(tried for 60 seconds with 500 milliseconds interval)
Build info: version: '4.41.0', revision: '9fc754f'
System info: os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '21.0.4'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 148.0.7778.178, chrome: {chromedriverVersion: 148.0.7778.178 (d096af1c9e9..., userDataDir: C:\Users\hp\AppData\Local\T...}, fedcm:accounts: true, goog:chromeOptions: {debuggerAddress: localhost:65361}, goog:processID: 15640, networkConnectionEnabled: false, pageLoadStrategy: normal, platformName: windows, proxy: Proxy(), se:cdp: ws://localhost:65361/devtoo..., se:cdpVersion: 148.0.7778.178, setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:extension:minPinLength: true, webauthn:extension:prf: true, webauthn:virtualAuthenticators: true}
Session ID: 1543795291a82925e28831efc7d99cac
2026-05-22 16:38:29 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:38:29 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:38:29 INFO  com.orangehrm.factory.DriverFactory - WebDriver terminated
2026-05-22 16:38:29 INFO  com.orangehrm.base.BaseTest - WebDriver instance terminated
2026-05-22 16:38:29 INFO  com.orangehrm.base.BaseTest - ActionDriver instance terminated
2026-05-22 16:38:29 INFO  com.orangehrm.factory.DriverFactory - config file access successfull
2026-05-22 16:38:29 INFO  com.orangehrm.factory.DriverFactory - Test execution runiing on chrome
2026-05-22 16:38:29 INFO  com.orangehrm.factory.DriverFactory - Test execution runiing on chrome
